Producent;Typer;Koder;KodeBeskrivelser;Fejl;Prioritering;Løsningsforslag;Varenumer prioritet 1;Varenummer prioritet 2;Varenummer prioritet 3;Koder (service - resultet);KodeBeskrivelser (service);Fejl (service);Spørgsmål 1;Spørgsmål 2;Spørgsmål 3;Kunden kan prøve;Send tekniker ja / nej;URL-links;URL-links_Kundeserviceinformationer;;;;;;;;;
Carimali;Touch;Maskinen genstarter.;Komponentfejl;Maskinen genstarter når der bruges IN-delen.;1;Efterse at mixermotoren ikke er blokeret af snavs.;;;;Maskinen genstarter.;Maskinen genstarter.;Maskinen genstarter når der bruges IN-delen.;;;;"Kunden kan efterse om piskerhjulet er blokeret af størknet ingrediensmix (mælk, kakao, sukker), og rengøre mixerenheden. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Maskinen genstarter.;Komponentfejl;Maskinen genstarter når der bruges IN-delen.;2;Test om mixermotor kan køre inde i systemet, hvis ikke skift mixermotor.;9600757;;;Maskinen genstarter.;Maskinen genstarter.;Maskinen genstarter når der bruges IN-delen.;;;;"Kunden kan efterse om piskerhjulet er blokeret af størknet ingrediensmix (mælk, kakao, sukker), og rengøre mixerenheden. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Sort skærm. ;Komponentfejl;Skærmen er sort men der er lys i afbryderen.;1;Defekt GPU eller skærm.;9600841;9605012;;Sort skærm. ;Sort skærm. ;Skærmen er sort men der er lys i afbryderen.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Foamer ikke rigtigt.;Rengøringsfejl / Komponentfejl;Foamen ser ikke rigtig ud / der kommer meget damp.;1;Efterse at mælkefoamer ikke er blokeret af snavs, og at slangerne sidder korrekt.;;;;Foamer ikke rigtigt.;Foamer ikke rigtigt.;Foamen ser ikke rigtig ud / der kommer meget damp.;;;;"Kunden kan kontrollere at der ikke er størknet mælk i udløbet. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Foamer ikke rigtigt.;Rengøringsfejl / Komponentfejl;Foamen ser ikke rigtig ud / der kommer meget damp.;2;Efterse at luftskruen er justeret korrekt.;;;;Foamer ikke rigtigt.;Foamer ikke rigtigt.;Foamen ser ikke rigtig ud / der kommer meget damp.;;;;"Kunden kan kontrollere at der ikke er størknet mælk i udløbet. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Foamer ikke rigtigt.;Rengøringsfejl / Komponentfejl;Foamen ser ikke rigtig ud / der kommer meget damp.;3;Test om mælkepumpen kan køre inde i systemet. Skift mælkepumpe om nødvendigt.;9605319;;;Foamer ikke rigtigt.;Foamer ikke rigtigt.;Foamen ser ikke rigtig ud / der kommer meget damp.;;;;"Kunden kan kontrollere at der ikke er størknet mælk i udløbet. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Der kommer ingen mælk.;Komponentfejl / Indstillingsfejl;Der kommer ingen mælk.;1;Kontroller at slangen fra køleskadet ikke er knækket.;;;;Der kommer ingen mælk.;Der kommer ingen mælk.;Der kommer ingen mælk.;;;;"Kunden kan kontrollere at der ikke er størknet mælk i udløbet. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Der kommer ingen mælk.;Komponentfejl / Indstillingsfejl;Der kommer ingen mælk.;2;Efterse om slanger sidder korrekt på mælkefoameren.;;;;Der kommer ingen mælk.;Der kommer ingen mælk.;Der kommer ingen mælk.;;;;"Kunden kan kontrollere at der ikke er størknet mælk i udløbet. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Der kommer ingen mælk.;Komponentfejl / Indstillingsfejl;Der kommer ingen mælk.;3;Efterse om sugelængden inde i systemet er indstillet korrekt.;;;;Der kommer ingen mælk.;Der kommer ingen mælk.;Der kommer ingen mælk.;;;;"Kunden kan kontrollere at der ikke er størknet mælk i udløbet. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Der kommer ingen mælk.;Komponentfejl / Indstillingsfejl;Der kommer ingen mælk.;4;Test om mælkepumpen kan kære inde i systemet. Skift mælkepumpe om nødvendigt.;9605319;;;Der kommer ingen mælk.;Der kommer ingen mælk.;Der kommer ingen mælk.;;;;"Kunden kan kontrollere at der ikke er størknet mælk i udløbet. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
